period,start,end,config_version,frozen_date,n_observations,return,sharpe,sortino,max_dd,n_trades,realized_vol,worst_day,best_day,beta_min,beta_max,beta_pct_out_of_band
development_2019_2021,2019-01-01,2021-12-31,frozen_step_1_v1,2026-07-22,756,0.09767614418079651,1.0094149348691717,1.1975175841455468,-0.02606741300473847,206,0.0312992503947806,-0.00709560412918353,0.021861615165093218,1.0,1.069371216783998,0.0
validation_2022_2023,2022-01-01,2023-12-31,frozen_step_1_v1,2026-07-22,501,0.0779051677782523,1.0697449903228093,1.3853931152536803,-0.03367727207999338,187,0.03594708867481185,-0.008072158655174522,0.018224843615274766,1.0044945665289222,1.0183212593663593,0.0
final_test_2024_2026,2024-01-01,2026-12-31,frozen_step_1_v1,2026-07-22,644,0.15240329588205248,1.3248961370727335,1.08026588217373,-0.03098548431257897,196,0.04264817042177264,-0.030154447989423794,0.0271275351578113,1.008084011860904,1.0201924491925416,0.0
