seed,mean_block_length_days,n_bootstrap,period,n_obs,sharpe_point,sharpe_ci_low,sharpe_ci_high,sharpe_bootstrap_median,sortino_point,sortino_ci_low,sortino_ci_high,sortino_bootstrap_median,return_point,return_ci_low,return_ci_high,return_bootstrap_median
20260722,10.0,10000,development_2019_2021,755,1.009415,0.139406,1.739665,1.020312,1.197518,0.134543,2.619695,1.199747,0.097676,0.01012,0.19964,0.096258
20260722,10.0,10000,validation_2022_2023,500,1.069745,-0.005025,1.971763,1.080996,1.385393,-0.00522,3.119612,1.398995,0.077905,-0.001459,0.163399,0.078013
20260722,10.0,10000,final_test_2024_2026,641,1.207393,0.294859,2.109441,1.257948,0.900618,0.168808,3.664232,0.9809,0.125633,0.0306,0.225704,0.12586
